posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 13 hours ago,Omega Sofa,Skill Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted 12 hours ago,RIGID PRECISION MANUFACTURING (M) SDN BHD,Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted 12 hours ago,SOUTHERN PLASTIC PRODUCTS,Production Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted 12 hours ago,ERA INGREDIENTS & CHEMICALS SDN. BHD.,Store Keeper,,Not Specified,Not Specified,,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",General & Wholesale Trading,1 - 50 Employees
Posted 12 hours ago,WAN CHENG PLASTIC INDUSTRIES SDN. BHD.,Quality Control (Ladies Only),,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,
Posted on 9-Mar-22,Jabil,Line Manager Sr,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,More than 5000 Employees
Posted 12 hours ago,Jaya Sarana Engineering,LORRY DRIVER CUM GENERAL SERVICE,,Not Specified,Not Specified,,Full-Time,"Others,General Work",Construction / Building / Engineering,51 - 200 Employees
Posted on 6-Mar-22,BHL Metal Industries,Production Assistant,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Automobile / Automotive Ancillary / Vehicle,51 - 200 Employees
Posted on 13-Mar-22,CREATIVE PRECISION ENGINEERING,PRODUCTION CLERK,,Not Specified,Not Specified,,Full-Time,"Engineering,Mechanical",Manufacturing / Production,51 - 200 Employees
Posted 12 hours ago,PUBLIC PACKAGES ASIA SDN. BHD.,Production Operator,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted 13 hours ago,J&T Express,Admin Assistant,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Transportation / Logistics,More than 5000 Employees
Posted on 7-Mar-22,Plexus,Officer - Demand Analyst,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,CHOP TONG GUAN,General Worker,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",General & Wholesale Trading,201 - 500 Employees
Posted 13 hours ago,ICS Consulting,Operation Executive,,Not Specified,Not Specified,,Full-Time,"Building/Construction,Civil/Construction",,
Posted 13 hours ago,L.h. Label (m) Sdn Bhd,Machine Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted on 13-Mar-22,VTech,Production Operator,,Not Specified,Not Specified,,Contract,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted 12 hours ago,U-Teknik Trading,OPERATOR,,Not Specified,Not Specified,,Full-Time,"Engineering,Electrical",Manufacturing / Production,1 - 50 Employees
Posted on 10-Mar-22,Green Island Feed Mills,WAREHOUSE ASSISTANT,,Not Specified,Not Specified,,Full-Time,"Sciences,Food Tech/Nutritionist",Marine/Aquaculture,51 - 200 Employees
Posted on 7-Mar-22,Plexus,Unit Manager - Program Management,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Electrical & Electronics,More than 5000 Employees
Posted 13 hours ago,HONG SENG ASSEMBLY,Safety and Health Officer,,Not Specified,Not Specified,,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Automobile / Automotive Ancillary / Vehicle,201 - 500 Employees
Posted 13 hours ago,Micron Semiconductors,"Manager, Component Planning",,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted 12 hours ago,TAN KIAN HUAT FISHERY SDN BHD,OPERATOR,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 10-Mar-22,Flex,Buyer,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Electrical & Electronics,1 - 50 Employees
Posted on 4-Mar-22,Tri-Mode System (Penang) Sdn Bhd,Export Forwarding Documentation Clerk,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1 - 50 Employees
Posted on 11-Mar-22,Honeywell,Director ISC Operations,,Not Specified,Not Specified,,,"Manufacturing,Manufacturing",Telecommunication,201 - 500 Employees
Posted 13 hours ago,Micron Semiconductors,"Manager, Component Assembly IE",,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted 13 hours ago,BGM POLO,store operator,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",Textiles/Garment,1 - 50 Employees
Posted 12 hours ago,GRACEFUL STAFFING SERVICES (M) SDN BHD,Assembler,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted on 8-Mar-22,CITY ZONE EXPRESS,Storekeeper/Warehouse Assistant,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,51 - 200 Employees
Posted 12 hours ago,High Ace Industries Sdn Bhd,QC Inspector,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Quality Assurance",,
Posted on 9-Mar-22,Teong Huat Medical Sdn Bhd,Purchasing Executive (Junior),,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",BioTechnology/Pharmaceutical/Clinical research,51 - 200 Employees
Posted on 8-Mar-22,BAGAN AUTO PARTS SDN BHD.,Packer and Despatch,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted on 12-Mar-22,Crystal Dignity,GENERAL WORKER,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",General & Wholesale Trading,51 - 200 Employees
Posted 12 hours ago,ATIEF DESIGN GLOBAL SDN. BHD.,PRODUCTION ASSISTANT,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted on 9-Mar-22,Armstrong Auto Parts,Planner,,Not Specified,Not Specified,,Full-Time,"Engineering,Mechanical",Manufacturing / Production,501 - 1000 Employees
Posted on 8-Mar-22,MCC Labels (Pg),Storehand,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 13-Mar-22,Hotayi Electronic,Material Handler,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1001 - 2000 Employees
Posted 12 hours ago,M&R Integrated Solution Sdn Bhd,STORE PACKAGER,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Heavy Industrial / Machinery / Equipment,51 - 200 Employees
Posted on 11-Mar-22,Mforce Bike Holdings Sdn Bhd,SPAREPARTS STORE ASSISTANT,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Automobile / Automotive Ancillary / Vehicle,201 - 500 Employees
Posted 12 hours ago,BloomThis Flora,Florist Artisan (Pulau Pinang),,Not Specified,Not Specified,,Contract,"Manufacturing,Manufacturing",General & Wholesale Trading,1 - 50 Employees
Posted 13 hours ago,JWR TECHNOLOGY (M) SDN. BHD.,Purchaser,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Heavy Industrial / Machinery / Equipment,1 - 50 Employees
Posted on 8-Mar-22,CG GLOBAL PROFASTEX MANUFACTURING,Material Handler,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 12-Mar-22,Dell,"Advisor, Demand Planning",,Not Specified,Not Specified,,,"Manufacturing,Purchasing/Material Mgmt",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 11-Mar-22,Flex,Buyer Direct,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,1 - 50 Employees
