posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 11 hours ago,Bomanite,Pekerja Mahir Pembinaan,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Maintenance",Construction / Building / Engineering,51 - 200 Employees
Posted 11 hours ago,LAPARPO SDN BHD,VIDEO PRODUCTION CREW (INTERN),,Not Specified,Not Specified,,Internship,"Sciences,Food Tech/Nutritionist",,
Posted on 10-Mar-22,Chailease Berjaya Credit,Customer Service Assistant (Loan Documentation),,Not Specified,Not Specified,,Contract,"Accounting/Finance,Banking/Financial",Others,51 - 200 Employees
Posted 11 hours ago,SSB MOVER & PACKAGING,Lorry Driver,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",,
Posted 12 hours ago,HZ DROP EMPIRE,Kerani Kurier / Kaunter,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 11-Mar-22,Barkath CO-RO Manufacturing Sdn Bhd,Production Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 8-Mar-22,STMicroelectronics,Manufacturing Shift Manager,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,2001 - 5000 Employees
Posted 11 hours ago,Wah Ma Technology,Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Polymer / Plastic / Rubber / Tyres,51 - 200 Employees
Posted on 9-Mar-22,Intel,Manufacturing Technical Supervisor,,Not Specified,Not Specified,,,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted 12 hours ago,BSS SUCCESS SOLUTION SDN. BHD.,TeleMarketer,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 8-Mar-22,UNICORN INDUSTRY (M) SDN. BHD.,Pulverize Mixture Specialist,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted 11 hours ago,MEGAN JEWELLERY SDN. BHD.,Customer Service Officer,,Not Specified,Not Specified,,Full-Time,"Services,Customer Service",Gems / Jewellery,1 - 50 Employees
Posted on 13-Mar-22,CITY ZONE EXPRESS,Workshop Assistant,,Not Specified,Not Specified,,Full-Time,"Engineering,Mechanical",Transportation / Logistics,51 - 200 Employees
